Filename,Class,Contrast0,Contrast45,Contrast90,Contrast135,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Dissimilarity0,Dissimilarity45,Dissimilarity90,Dissimilarity135,Entropy0,Entropy45,Entropy90,Entropy135,ASM0,ASM45,ASM90,ASM135,Energy0,Energy45,Energy90,Energy135,Correlation0,Correlation45,Correlation90,Correlation135
Image_1,Blight,61.14915747549021,70.14755863129565,29.47761948529412,81.47752402921955,0.37567052211063057,0.30857356271373915,0.438717478015716,0.29603506329424967,4.475689338235295,5.047550941945406,3.104243259803922,5.515632449058055,7.68795768399399,7.8633771784178705,7.375689905040775,7.9429574828762775,0.0009456335622867408,0.0006803714479436754,0.0012601502333087033,0.0006396621770735267,0.030751155462628407,0.02608393083765703,0.035498594807523064,0.02529154358819419,0.9646283560312487,0.9594220446061898,0.9829843003044076,0.952867629354613
Image_2,Blight,32.61780024509804,35.098423683198774,15.030530024509805,46.7446059207997,0.48900439106100335,0.41934650671759427,0.5315749910748407,0.39718022417581667,2.8775428921568627,3.2189926951172625,2.0338388480392156,3.7080507497116497,6.840344045774209,7.035946805845144,6.638489901198373,7.14116846676113,0.0031989131987621945,0.0023562019812862914,0.0033265809818489285,0.002217552797027021,0.05655893562260692,0.04854072497693346,0.05767652019538738,0.04709089930153194,0.969406959257596,0.9670920947089496,0.9859492644993534,0.9561747282290433
Image_3,Blight,63.93209252450981,79.47658592848904,19.992172181372545,66.6160553633218,0.36354848001991935,0.26368051058815967,0.45845484412986914,0.28858996075521104,4.882521446078432,5.879723183391004,2.6807138480392156,5.254517493271818,7.9705342133455215,8.24216170701666,7.469568319832382,8.133724815994238,0.0007933839345519154,0.0004600713563425536,0.001155386942709835,0.0005244186536364551,0.028167071813589628,0.02144927402833377,0.033990983256002395,0.022900188943247936,0.9728135968229238,0.966181660094815,0.991504530688567,0.9716538001796992
Image_4,Blight,39.69814644607843,51.8480584390619,18.268933823529412,46.06251441753172,0.40648014590258286,0.33126925478505215,0.4846186117795836,0.34339762710717425,3.684727328431372,4.412087658592849,2.3921875,4.135378700499808,7.453493108436579,7.670483491158985,7.074155170093711,7.614490480564446,0.001264238837864343,0.0008988833295566532,0.0017256149884509564,0.00094607719711506,0.03555613643050019,0.02998138304943008,0.04154052224576572,0.030758367920210916,0.9703597353997813,0.9613132264230567,0.9863721125018465,0.9656318258416894
Image_5,Blight,85.71613051470588,98.00741253364092,24.76328125,94.39629373317955,0.35416498373377925,0.2809277779686533,0.4475022768961278,0.2911780098733859,5.249004289215686,6.008858131487889,2.9329197303921566,5.820638216070743,7.960212162553986,8.160934752053446,7.494701438150737,8.125252894795695,0.0008787473849450932,0.0006165759154827771,0.0012657488771971718,0.0006476230344079946,0.029643673607451106,0.02483094672949014,0.03557736467470816,0.02544843874205242,0.9651201791307131,0.9600701331341951,0.9899063654827052,0.9615424288369097
Image_6,Blight,59.46913296568628,64.06789696270666,27.257138480392157,80.04315263360246,0.3601695125381823,0.29288683423207473,0.4322399029726942,0.28006721640663734,4.673023897058823,5.179377162629758,3.101776960784314,5.706605151864668,7.699631632941054,7.866846451330542,7.349898234639062,7.946006296895732,0.0009583571982906215,0.0006846049954761138,0.0012889894033019152,0.0006451734397839769,0.03095734481977777,0.02616495739488436,0.03590249856628248,0.025400264561298902,0.9645769720900192,0.9618459436816004,0.9837937320831394,0.9523327551165878
Image_7,Blight,44.305116421568634,58.631726259131106,29.318964460784315,60.86923490965014,0.3726209824851584,0.2907355266736751,0.42398412137046587,0.2889654021374436,4.114154411764706,5.014932718185314,3.2473039215686272,5.102191464821223,7.429561472307739,7.672206850309798,7.224163806414675,7.686589450223704,0.0012659701619043757,0.0008583601876721771,0.0015618883578055916,0.0008512726229420234,0.035580474447432196,0.029297784688815248,0.03952073326502928,0.02917657661450403,0.9639627740623286,0.9522897088021667,0.9761897458381088,0.950470333436336
Image_8,Blight,45.88863357843137,54.80390618992695,18.85269607843137,54.4635755478662,0.3712009575286852,0.2963142342405972,0.44554117923456593,0.2921114495705325,4.037438725490196,4.695640138408304,2.642984068627451,4.719354094579008,7.463748111258255,7.65921661683139,7.105720765916178,7.669226000251932,0.0013105013039606162,0.0009110416674981275,0.0017688332058658329,0.0008991989447172377,0.03620084672988487,0.030183466790581356,0.042057498806584215,0.029986646106512773,0.9589397772955919,0.9509378537422704,0.983120308985793,0.9512429465369654
Image_9,Blight,42.977251838235304,59.39394079200308,27.98060661764706,61.932964244521344,0.3841616629571309,0.30136579445441003,0.41686417558686395,0.2896636309440993,3.9291819852941186,4.871649365628604,3.146629901960784,5.0388465974625145,7.570901977230507,7.821193708898355,7.383481415783041,7.863878241655113,0.0013340722318339105,0.0008834128653383692,0.001463823329481149,0.0008378867087614989,0.03652495355005822,0.02972226211677653,0.0382599441907741,0.028946272795672655,0.9720086757173281,0.9613305885354624,0.9817593001771022,0.9596783984282834
Image_10,Blight,69.73691789215687,83.86705113417916,27.226654411764702,80.0315417147251,0.338211066062815,0.26642512097127174,0.4234926116052643,0.26831649105179245,4.946997549019608,5.74562091503268,3.1212009803921568,5.6355094194540545,7.699734149951997,7.8969668456303825,7.2943002545204525,7.8841676824398546,0.0009680493746020162,0.0006719958800928457,0.0014370983318840712,0.000679891698709321,0.031113491841997038,0.025922883329075216,0.03790907980793086,0.026074732955666508,0.9444101702620672,0.9331801161921288,0.9783007862655654,0.9362378698192723
